 ARSENE 07   HEP-EX/0701041
 Invariant cross section for K- production in P P collisions at SQRT(S)=200 GeV 
 and rapidity 3.3.
 P P --> K- X
 SQRT(S) IN GEV   200
 YRAP   3.3
 x = PT IN GEV
 y = (1/(2*PI*PT)))*D2(SIG)/DPT/DYRAP IN MB/GEV**2
 x        y                 +- dy                +- dsys
0.725             0.1164              0.0338      0.0116
0.775             0.1687              0.0170      0.0169
0.825             0.1346              0.0097      0.0135
0.875             0.1107              0.0068      0.0111
0.925             0.08849             0.00577     0.00885
0.975             0.06828             0.00472     0.00683
1.048             0.05466             0.00287     0.00847
1.148             0.02982             0.00190     0.00462
1.248             0.01489             0.00058     0.00231
1.348             0.01071             0.00033     0.00166
1.448             0.006984            0.000215    0.001082
1.548             0.004388            0.000164    0.000680
1.648             0.003347            0.000152    0.000519
1.748             0.001851            0.000130    0.000287
1.848             0.001110            0.000119    0.000172
1.948             0.0005855           0.0000681   0.0000907
2.093             0.0002937           0.0000235   0.0000455
2.293             0.0001243           0.0000117   0.0000193
2.493             0.00007600          0.00000814  0.00001178
2.774             0.00001791          0.00000264  0.00000278
3.176    0.000005310          0.000001648         0.000001168
3.577    0.000002414          0.000001570         0.000000531
