 ARSENE 07   HEP-EX/0701041
 Invariant cross section for K+ production in P P collisions at SQRT(S)=200 GeV 
 and rapidity 3.3.
 P P --> K+ X
 SQRT(S) IN GEV   200
 YRAP   3.3
 x = PT IN GEV
 y = (1/(2*PI*PT)))*D2(SIG)/DPT/DYRAP IN MB/GEV**2
 x        y        +- dy        +- dsys
0.825    0.1426      0.0201      0.0143
0.875    0.1861      0.0178      0.0186
0.925    0.1781      0.0164      0.0178
0.975    0.1483      0.0139      0.0148
1.048    0.09313     0.00748     0.01443
1.148    0.05131     0.00408     0.00795
1.248    0.02883     0.00108     0.00447
1.348    0.02254     0.00064     0.00349
1.448    0.01535     0.00042     0.00238
1.548    0.01100     0.00034     0.00171
1.648    0.007318    0.000298    0.001134
1.748    0.004865    0.000280    0.000754
1.848    0.004002    0.000281    0.000620
1.948    0.002045    0.000129    0.000317
2.094    0.001078    0.000045    0.000167
2.294    0.0005803   0.0000248   0.0000899
2.494    0.0002770   0.0000154   0.0000429
2.777    0.00008993  0.00000585  0.00001394
3.179    0.00002688  0.00000366  0.00000591
3.580    0.00001003  0.00000316  0.00000221
