 ARSENE 07   HEP-EX/0701041
 Invariant cross section for PI- production in P P collisions at SQRT(S)=200 GeV
  and rapidity 3.3.
 P P --> PI- X
 SQRT(S) IN GEV   200
 YRAP   3.3
 x = PT IN GEV
 y = (1/(2*PI*PT)))*D2(SIG)/DPT/DYRAP IN MB/GEV**2
 x        y                 +- dy                +- dsys
0.275            25.19                1.91        2.52
0.325            20.04                0.32        2.00
0.375            17.17                0.22        1.72
0.425            12.80                0.23        1.28
0.475             8.542               0.186       0.854
0.525             6.620               0.109       0.662
0.575             5.170               0.091       0.517
0.625             3.748               0.092       0.375
0.675             2.816               0.066       0.282
0.725             2.044               0.042       0.204
0.775             1.709               0.030       0.171
0.825             1.286               0.025       0.129
0.875             0.9400              0.0236      0.0940
0.925             0.6555              0.0202      0.0656
0.975             0.4656              0.0127      0.0466
1.048             0.2942              0.0053      0.0456
1.148             0.1784              0.0032      0.0277
1.248             0.1110              0.0028      0.0172
1.348             0.06418             0.00144     0.00995
1.448             0.04077             0.00063     0.00632
1.548             0.02577             0.00037     0.00399
1.648             0.01715             0.00028     0.00266
1.748             0.01053             0.00023     0.00163
1.848             0.007007            0.000214    0.001086
1.948             0.004929            0.000224    0.000764
2.093             0.002382            0.000097    0.000369
2.293             0.001016            0.000039    0.000157
2.493             0.0004627           0.0000213   0.0000717
2.775             0.0001400           0.0000076   0.0000217
3.177             0.00003163          0.00000378  0.00000601
3.578             0.000009622         0.000002824 0.000001828
3.979             0.000004526         0.000004034 0.000000860
