 ARSENE 07   HEP-EX/0701041
 Invariant cross section for PI+ production in P P collisions at SQRT(S)=200 GeV
  and rapidity 3.3.
 P P --> PI+ X
 SQRT(S) IN GEV   200
 YRAP   3.3
 x = PT IN GEV
 y = (1/(2*PI*PT)))*D2(SIG)/DPT/DYRAP IN MB/GEV**2
 x        y                 +- dy                +- dsys
0.475             8.952               0.450       0.895
0.525             7.341               0.259       0.734
0.575             5.849               0.218       0.585
0.625             4.244               0.221       0.424
0.675             2.889               0.064       0.289
0.725             2.175               0.036       0.218
0.775             1.767               0.025       0.177
0.825             1.270               0.021       0.127
0.875             1.034               0.020       0.103
0.925             0.7645              0.0201      0.0764
0.975             0.5355              0.0185      0.0536
1.048             0.3248              0.0110      0.0503
1.148             0.2409              0.0074      0.0373
1.248             0.1369              0.0062      0.0212
1.348             0.07190             0.00220     0.01114
1.448             0.04823             0.00092     0.00748
1.548             0.03154             0.00055     0.00489
1.648             0.02103             0.00041     0.00326
1.748             0.01418             0.00035     0.00220
1.848             0.01061             0.00035     0.00164
1.948             0.006335            0.000338    0.000982
2.093             0.002994            0.000108    0.000464
2.293             0.001485            0.000047    0.000230
2.494             0.0007080           0.0000260   0.0001097
2.776             0.0002406           0.0000098   0.0000373
3.178             0.00006082          0.00000518  0.00001156
3.579             0.00001442          0.00000341  0.00000274
3.981             0.000004884         0.000004140 0.000000928
