#   A_N(xF) Cone algorithm AN_DY
#*************
#               <\eta>=3.3
# err-xf-dn     err-x-up    <x_F>	 A_N	   err-AN
 0.0            0.0         -0.534      -0.00057  0.00366
 0.0            0.0         -0.434      -0.00381  0.00134
 0.0            0.0         -0.335       0.00008  0.00051
 0.0            0.0         -0.239       0.00015  0.00022
 0.0            0.0         -0.151      -0.00086  0.00016
 0.0            0.0          0.151       0.00061  0.00016
 0.0            0.0          0.239       0.00153  0.00022
 0.0            0.0          0.335       0.00213  0.00051
 0.0            0.0          0.434       0.00262  0.00133
 0.0            0.0          0.534       0.00970  0.00364
