#   A_N(xF) Cone algorithm AN_DY
#*************
#               <\eta>=3.3
# err-xf-dn     err-x-up    <x_F>	 A_N	   err-AN
 0.0            0.0       -0.533       -0.00463  0.00620
 0.0            0.0       -0.433       -0.00646  0.00209
 0.0            0.0       -0.334        0.00024  0.00073
 0.0            0.0       -0.236        0.00026  0.00028
 0.0            0.0       -0.151       -0.00066  0.00017
 0.0            0.0        0.151        0.00108  0.00017
 0.0            0.0        0.236        0.00167  0.00027
 0.0            0.0        0.334        0.00255  0.00072
 0.0            0.0        0.433        0.00268  0.00207
 0.0            0.0        0.533        0.00753  0.00616
