z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.359232043571822514e-03,1.359209019854626301e-03,8.352472900741112231e-04,1.135294880975261047e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.043221252497575080e-01,1.411163189119386385e-03,1.411139448736078734e-03,8.325261471549558548e-04,1.174830252844463056e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.088310581662609300e-01,1.464464658359115878e-03,1.464440204988247526e-03,8.295760230833805308e-04,1.214884767227716885e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.135348728108431654e-01,1.519088339534260118e-03,1.519063181024168712e-03,8.263787274507834301e-04,1.255342288909645574e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.184419922158806843e-01,1.574971960108968554e-03,1.574946109052441368e-03,8.229148217594550816e-04,1.296067769829211419e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.235612034677590898e-01,1.632037369377029859e-03,1.632010843733061210e-03,8.191635707247019041e-04,1.336905559055037033e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.289016734417433585e-01,1.690188706869778226e-03,1.690161530631379902e-03,8.151028993586273419e-04,1.377677715432765341e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.344729652169289191e-01,1.749310467197282394e-03,1.749282671102727650e-03,8.107093578614085359e-04,1.418182365561749405e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.402850552006674190e-01,1.809265477965917935e-03,1.809237100248968413e-03,8.059580967129926056e-04,1.458192161069934124e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.463483509931317317e-01,1.869892814802569551e-03,1.869863901974815838e-03,8.008228547690134612e-04,1.497452902062259989e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.526737100240096179e-01,1.931005686456308858e-03,1.930976294111859913e-03,7.952759636199495863e-04,1.535682408052143240e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.592724589946988845e-01,1.992389333603203447e-03,1.992359527232520199e-03,7.892883719706351433e-04,1.572569733451331120e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.661564141608184442e-01,2.053798997477987703e-03,2.053768853273510529e-03,7.828296943344383290e-04,1.607774841420069037e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.733379024913548339e-01,2.114958028869130292e-03,2.114927634500716677e-03,7.758682889056625013e-04,1.640928866965984887e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.808297837423337162e-01,2.175556224325985236e-03,2.175525679658666788e-03,7.683713700634038635e-04,1.671635116735323407e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.886454734845430248e-01,2.235248494491713211e-03,2.235217912212315947e-03,7.603051615534305377e-04,1.699470967716584392e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.967989671265430451e-01,2.293653988968918575e-03,2.293623495081602726e-03,7.516350969674667802e-04,1.723990838408470141e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.053048649759813549e-01,2.350355822480448050e-03,2.350325556624342435e-03,7.423260746590877980e-04,1.744730411754042800e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.141783983840887806e-01,2.404901567429355326e-03,2.404871682964494686e-03,7.323427746594095115e-04,1.761212286673976983e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.234354570201737278e-01,2.456804697027185902e-03,2.456775360828532869e-03,7.216500454287150474e-04,1.772953221219149276e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.330926173249537325e-01,2.505547179221822175e-03,2.505518571115241885e-03,7.102133683331010106e-04,1.779473101672630145e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.431671721936762010e-01,2.550583432451818209e-03,2.550555744222091862e-03,6.979994074836536272e-04,1.780305724588992551e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.536771619421803736e-01,2.591345856937171503e-03,2.591319290836432108e-03,6.849766519183594742e-04,1.775011409047335734e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.646414066113516039e-01,2.627252146339995303e-03,2.627226913027301634e-03,6.711161559263518301e-04,1.763191361100954907e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.760795396678142333e-01,2.657714560204613424e-03,2.657690876054420726e-03,6.563923814770373502e-04,1.744503589458903161e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.880120431612111509e-01,2.682151293229005987e-03,2.682129376959978967e-03,6.407841440783343693e-04,1.718680020720346360e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.004602844010243468e-01,2.700000008630366096e-03,2.699980077227345440e-03,6.242756597982130088e-04,1.685544286842902524e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.134465542186142262e-01,2.710733505487821632e-03,2.710715769420509336e-03,6.068576864963089439e-04,1.645029463848368895e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.269941068829917974e-01,2.713877360822044942e-03,2.713862018604969607e-03,5.885287464016729451e-04,1.597194841052478729e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.411272017418006119e-01,2.709029225047367411e-03,2.709016457237306032e-03,5.692964099535710414e-04,1.542240612278771005e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.558711466620742558e-01,2.695879256067184367e-03,2.695869218855981991e-03,5.491786122778592651e-04,1.480519228715643874e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.712523433485573343e-01,2.674230958739707946e-03,2.674223777370203243e-03,5.282049638879098095e-04,1.412542066989037754e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.872983346207417577e-01,2.644021464414876652e-03,2.644017226721445679e-03,5.064180064059019748e-04,1.338980078903395322e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.040378537332751097e-01,2.605340058214012863e-03,2.605338808660910381e-03,4.838743527161320406e-04,1.260657234273715242e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.215008758280593404e-01,2.558443565594718718e-03,2.558445300246020657e-03,4.606456396396724782e-04,1.178535872755383477e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.397186716101729176e-01,2.503767077518833858e-03,2.503771740412081160e-03,4.368192108862925527e-04,1.093693559044855941e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.587238633437344948e-01,2.441928463527839269e-03,2.441935944926293140e-03,4.124984399201384782e-04,1.007291681601814446e-06
