z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.359234343396107736e-03,1.359211319833522873e-03,8.352458768349008871e-04,1.135294880973992827e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.043221252497575080e-01,1.411165584615559120e-03,1.411141844393641468e-03,8.325247339157557103e-04,1.174830252843140202e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.088310581662609300e-01,1.464467153176871473e-03,1.464442699974478380e-03,8.295746098441914452e-04,1.214884767226336856e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.135348728108431654e-01,1.519090937419849061e-03,1.519065779085637148e-03,8.263773142116060538e-04,1.255342288908205830e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.184419922158806843e-01,1.574974664902123846e-03,1.574948814029216273e-03,8.229134085202907158e-04,1.296067769827709417e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.235612034677590898e-01,1.632040185007021388e-03,1.632013659554765054e-03,8.191621574855515245e-04,1.336905559053470234e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.289016734417433585e-01,1.690191637350499810e-03,1.690164461312276432e-03,8.151014861194923579e-04,1.377677715431130567e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.344729652169289191e-01,1.749313516621299296e-03,1.749285720735768756e-03,8.107079446222902486e-04,1.418182365560044116e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.402850552006674190e-01,1.809268650497382249e-03,1.809240272998714717e-03,8.059566834738925330e-04,1.458192161068155355e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.463483509931317317e-01,1.869896114668942759e-03,1.869867202069157514e-03,8.008214415299331210e-04,1.497452902060403928e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.526737100240096179e-01,1.931009117938834721e-03,1.930979725832489367e-03,7.952745503808907133e-04,1.535682408050207134e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.592724589946988845e-01,1.992392901026089624e-03,1.992363094904117150e-03,7.892869587315996891e-04,1.572569733449311370e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.661564141608184442e-01,2.053802705196302366e-03,2.053772561251641666e-03,7.828282810954283535e-04,1.607774841417962255e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.733379024913548339e-01,2.114961881255444324e-03,2.114931487158476769e-03,7.758668756666804982e-04,1.640928866963786413e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.808297837423337162e-01,2.175560225755867119e-03,2.175529681372173792e-03,7.683699568244517844e-04,1.671635116733030277e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.886454734845430248e-01,2.235252649328225809e-03,2.235222067345212990e-03,7.603037483145114184e-04,1.699470967714192159e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.967989671265430451e-01,2.293658301546410740e-03,2.293627807968848849e-03,7.516336837285833312e-04,1.723990838405974570e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.053048649759813549e-01,2.350360297088009264e-03,2.350330031555671138e-03,7.423246614202433803e-04,1.744730411751439233e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.141783983840887806e-01,2.404906208294494991e-03,2.404876324168094080e-03,7.323413614206073776e-04,1.761212286671261183e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.234354570201737278e-01,2.456809508300464989e-03,2.456780172455680367e-03,7.216486321899588836e-04,1.772953221216315951e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.330926173249537325e-01,2.505552164963432537e-03,2.505523557226886112e-03,7.102119550943952623e-04,1.779473101669674212e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.431671721936762010e-01,2.550588596621394984e-03,2.550560908778665495e-03,6.979979942450023058e-04,1.780305724585908927e-06
