jt,driver_no_gluon,cartesian_no_gluon
1.000000000000000056e-01,2.181302638948601692e-07,1.759115031410162463e-08
1.043221252497575080e-01,2.269566063424343891e-07,1.754465036114897802e-08
1.088310581662609300e-01,2.360854800177086864e-07,1.749422631290167368e-08
1.135348728108431654e-01,2.455198409555284374e-07,1.743956432383648758e-08
1.184419922158806843e-01,2.552615323173393810e-07,1.738032859783880832e-08
1.235612034677590898e-01,2.653110972867225522e-07,1.731616043897071124e-08
1.289016734417433585e-01,2.756675713793692317e-07,1.724667738037402352e-08
1.344729652169289191e-01,2.863282529107557742e-07,1.717147242251577396e-08
1.402850552006674190e-01,2.972884505201973695e-07,1.709011341775295618e-08
1.463483509931317317e-01,3.085412068850308611e-07,1.700214264465600854e-08
1.526737100240096179e-01,3.200769980921126169e-07,1.690707662268858984e-08
1.592724589946988845e-01,3.318834085873039580e-07,1.680440622568398770e-08
1.661564141608184442e-01,3.439447822211781204e-07,1.669359716101323844e-08
1.733379024913548339e-01,3.562418506777549544e-07,1.657409089030797529e-08
1.808297837423337162e-01,3.687513415412525285e-07,1.644530607689668269e-08
1.886454734845430248e-01,3.814455694535453117e-07,1.630664065447646041e-08
1.967989671265430451e-01,3.942920152717900783e-07,1.615747462060290459e-08
2.053048649759813549e-01,4.072528998787678620e-07,1.599717366683791402e-08
2.141783983840887806e-01,4.202847613498981016e-07,1.582509376419224915e-08
2.234354570201737278e-01,4.333380465535012435e-07,1.564058682699815763e-08
2.330926173249537325e-01,4.463567309533413306e-07,1.544300757950248806e-08
2.431671721936762010e-01,4.592779833726814301e-07,1.523172174601091503e-08
2.536771619421803736e-01,4.720318957162696593e-07,1.500611567583359183e-08
2.646414066113516039e-01,4.845413010420596105e-07,1.476560749684418879e-08
2.760795396678142333e-01,4.967217067906137881e-07,1.450965986423057421e-08
2.880120431612111509e-01,5.084813732197655191e-07,1.423779433191264006e-08
3.004602844010243468e-01,5.197215698867602466e-07,1.394960732102487122e-08
3.134465542186142262e-01,5.303370450210359017e-07,1.364478759084557153e-08
3.269941068829917974e-01,5.402167434031102787e-07,1.332313503101320439e-08
3.411272017418006119e-01,5.492448073890076967e-07,1.298458048891826340e-08
3.558711466620742558e-01,5.573018924026367161e-07,1.262920622302936472e-08
3.712523433485573343e-01,5.642668219217130550e-07,1.225726643344865683e-08
3.872983346207417577e-01,5.700185970692328312e-07,1.186920716923469975e-08
4.040378537332751097e-01,5.744387618288726199e-07,1.146568475479638312e-08
4.215008758280593404e-01,5.774141062420150995e-07,1.104758172511841933e-08
4.397186716101729176e-01,5.788396666362479180e-07,1.061601912563332798e-08
4.587238633437344948e-01,5.786219543646364308e-07,1.017236393496534823e-08
4.785504832679771670e-01,5.766823137208688976e-07,9.718230328743234587e-09
4.992340345381389710e-01,5.729602774527689308e-07,9.255473543760682916e-09
5.208115548002949513e-01,5.674167573534248909e-07,8.786175247810163908e-09
5.433216825139731698e-01,5.600368814288541502e-07,8.312619592573993558e-09
5.668047261413169391e-01,5.508322725934909451e-07,7.837259539035959358e-09
5.913027363266896153e-01,5.398425616625833912e-07,7.362673598825840779e-09
6.168595811959725062e-01,5.271359443851563084e-07,6.891513814934483215e-09
6.435210249103920921e-01,5.128086321636042663e-07,6.426446573002361733e-09
6.713348096155424827e-01,4.969831105877818901e-07,5.970088626101535312e-09
7.003507409323472821e-01,4.798052073271861533e-07,5.524941443101202226e-09
7.306207771430480724e-01,4.614400753305124566e-07,5.093327546249328052e-09
7.621991222319222103e-01,4.420673079592545548e-07,4.677332774558748023e-09
7.951423229473382204e-01,4.218755045824622716e-07,4.278758296424144217e-09
8.295093700589535324e-01,4.010566805958906362e-07,3.899085635514682654e-09
8.653618039913759663e-01,3.798009475153175805e-07,3.539456968093240785e-09
9.027638250234443218e-01,3.582918639448432786e-07,3.200671577208116828e-09
9.417824082504592242e-01,3.367027728972049199e-07,2.883197773638251275e-09
9.824874235152266655e-01,3.151943033721245467e-07,2.587198047002980833e-09
1.024951760522670341e+00,2.939130454914819711e-07,2.312563953927294463e-09
1.069251459362054568e+00,2.729912402034292125e-07,2.058956516195522875e-09
1.115465846670542716e+00,2.525471914339067583e-07,1.825847832759399155e-09
1.163677677681911549e+00,2.326860396839981159e-07,1.612560209774153189e-09
1.213973284414793241e+00,2.135005458195424576e-07,1.418300235617532168e-09
1.266442730265795458e+00,1.950716164774814172e-07,1.242186606471242568e-09
1.321179971284331733e+00,1.774684333335659359e-07,1.083271828304623859e-09
1.378283024417950919e+00,1.607481912742066499e-07,9.405589115421730044e-10
1.437854143029440479e+00,1.449555696171114812e-07,8.130146822175400423e-10
1.500000000000000000e+00,1.301221320003040661e-07,6.995813548403444382e-10
