jt,driver_no_gluon,driver_with_gluon,cartesian_no_gluon,cartesian_with_gluon
1.000000000000000056e-01,1.031743637541358884e-06,2.750922501270688846e-06,8.320513205978699868e-08,2.218485888121523203e-07
1.070351758793969960e-01,1.091005582082100086e-06,2.908931730282916116e-06,8.220131411265254659e-08,2.191721241580721755e-07
1.140703517587939725e-01,1.147740284705987195e-06,3.060202612285030920e-06,8.114264482609473591e-08,2.163494102048888581e-07
1.211055276381909629e-01,1.201840852210225148e-06,3.204450139542456052e-06,8.003156524890737659e-08,2.133869554841884369e-07
1.281407035175879394e-01,1.253210440226388711e-06,3.341416097376148428e-06,7.887061277832110587e-08,2.102915254199410272e-07
1.351758793969849437e-01,1.301762512079518114e-06,3.470869754354702522e-06,7.766241153130593540e-08,2.070701166556498609e-07
1.422110552763819202e-01,1.347421043384200595e-06,3.592608407805800468e-06,7.640966249671033637e-08,2.037299307971487114e-07
1.492462311557788968e-01,1.390120671992783768e-06,3.706457783620870348e-06,7.511513351975778712e-08,2.002783477084156645e-07
1.562814070351758733e-01,1.429806793274153043e-06,3.812272290295450994e-06,7.378164917061416972e-08,1.967228984982872032e-07
1.633165829145728498e-01,1.466435601059368882e-06,3.909935128101930237e-06,7.241208054858918576e-08,1.930712383355543903e-07
1.703517587939698541e-01,1.499974074940105999e-06,3.999358255223565945e-06,7.100933507305192808e-08,1.893311192286348898e-07
1.773869346733668306e-01,1.530399914944496474e-06,4.080482213581665891e-06,6.957634631133025350e-08,1.855103629038543934e-07
1.844221105527638072e-01,1.557701424940110443e-06,4.153275817954720009e-06,6.811606389274018464e-08,1.816168339133755396e-07
1.914572864321608114e-01,1.581877346422994948e-06,4.217735712812616546e-06,6.663144355646769327e-08,1.776584131000149548e-07
1.984924623115577880e-01,1.602936644642701371e-06,4.273885802065033306e-06,6.512543737931759911e-08,1.736429715416377485e-07
2.055276381909547645e-01,1.620898249284077609e-06,4.321776557645203891e-06,6.360098422737034749e-08,1.695783450925537473e-07
2.125628140703517688e-01,1.635790752175445074e-06,4.361484213513796520e-06,6.206100047336870592e-08,1.654723096334258991e-07
2.195979899497487453e-01,1.647652064718121822e-06,4.393109852268409575e-06,6.050837101921205461e-08,1.613325571346817729e-07
2.266331658291457218e-01,1.656529037932725495e-06,4.416778392078766624e-06,5.894594066029117800e-08,1.571666726313701748e-07
2.336683417085426984e-01,1.662477048192265818e-06,4.432637482133104389e-06,5.737650582557421712e-08,1.529821121998765043e-07
2.407035175879397026e-01,1.665559551859897372e-06,4.440856315175529945e-06,5.580280672437867005e-08,1.487861820189794588e-07
2.477386934673366792e-01,1.665847612169802496e-06,4.441624366035653780e-06,5.422751992766320775e-08,1.445860185894613528e-07
2.547738693467336279e-01,1.663419401782744840e-06,4.435150065299964784e-06,5.265325140846953451e-08,1.403885701779431753e-07
2.618090452261306322e-01,1.658359684513287090e-06,4.421659417448927474e-06,5.108253006286671648e-08,1.362005795418761440e-07
2.688442211055276365e-01,1.650759279763809761e-06,4.401394572885479047e-06,4.951780172942390470e-08,1.320285679837519412e-07
2.758793969849245853e-01,1.640714513211617886e-06,4.374612363310353365e-06,4.796142372188612651e-08,1.278788207736589154e-07
2.829145728643215896e-01,1.628326657280425682e-06,4.341582809859629884e-06,4.641565988638123814e-08,1.237573739703870874e-07
2.899497487437185939e-01,1.613701364887079370e-06,4.302587613312167176e-06,4.488267619116241389e-08,1.196700026624254180e-07
2.969849246231155426e-01,1.596948099889772326e-06,4.257918635502264570e-06,4.336453685361944487e-08,1.156222106414702754e-07
3.040201005025125469e-01,1.578179567576380171e-06,4.207876380839301503e-06,4.186320100609166601e-08,1.116192215125327901e-07
3.110552763819095512e-01,1.557511148422408883e-06,4.152768486545090797e-06,4.038051989890814168e-08,1.076659712364470569e-07
3.180904522613065000e-01,1.535060338218950649e-06,4.092908229875493587e-06,3.891823463608663781e-08,1.037671020925984009e-07
3.251256281407035043e-01,1.510946197523731889e-06,4.028613060200045680e-06,3.747797443625949352e-08,9.992695804205628290e-08
3.321608040201005085e-01,1.485288813224588208e-06,3.960203163376780945e-06,3.606125540867857364e-08,9.614958146405487440e-08
3.391959798994974573e-01,1.458208774826440232e-06,3.888000065384085824e-06,3.466947983159636880e-08,9.243871123195139172e-08
3.462311557788944616e-01,1.429826667882035861e-06,3.812325281662724110e-06,3.330393591794151710e-08,8.879778208845008089e-08
3.532663316582914659e-01,1.400262586785350291e-06,3.733499018084235261e-06,3.196579805101233256e-08,8.522992527402867998e-08
3.603015075376884147e-01,1.369635668936632076e-06,3.651838928902216817e-06,3.065612747091260334e-08,8.173797035717159643e-08
3.673366834170853634e-01,1.338063652071671287e-06,3.567658936466026798e-06,2.937587339065603924e-08,7.832444821022234536e-08
3.743718592964824232e-01,1.305662456326950081e-06,3.481268116887402523e-06,2.812587451927506642e-08,7.499159507042574778e-08
3.814070351758793720e-01,1.272545792388860099e-06,3.392969655254621591e-06,2.690686096788890092e-08,7.174135762204829590e-08
3.884422110552763208e-01,1.238824796851064035e-06,3.303059873391340022e-06,2.571945651351685762e-08,6.857539903234953334e-08
3.954773869346733806e-01,1.204607695681177055e-06,3.211827332562878743e-06,2.456418119446594232e-08,6.549510587162488349e-08
4.025125628140703293e-01,1.169999496477956015e-06,3.119552012946204568e-06,2.344145421037345083e-08,6.250159584554535825e-08
4.095477386934672781e-01,1.135101709984810796e-06,3.026504571105609246e-06,2.235159709944363453e-08,5.959572626657592458e-08
4.165829145728643379e-01,1.100012101116181381e-06,2.932945676158093617e-06,2.129483716507646844e-08,5.677810319034403656e-08
4.236180904522612867e-01,1.064824469551625218e-06,2.839125424774686973e-06,2.027131112394036542e-08,5.404909114244085453e-08
4.306532663316582354e-01,1.029628459759496391e-06,2.745282834649454028e-06,1.928106894757968645e-08,5.140882336124152654e-08
4.376884422110552952e-01,9.945094001292271285e-07,2.651645415580318202e-06,1.832407786986743075e-08,4.885721248291575102e-08
4.447236180904522440e-01,9.595481707191800126e-07,2.558428816847156892e-06,1.740022653299770507e-08,4.639396159582506003e-08
4.517587939698491928e-01,9.248210989669306775e-07,2.465836549145699922e-06,1.650932924525631013e-08,4.401857559295223821e-08
4.587939698492462526e-01,8.903998825612290766e-07,2.374059778942203723e-06,1.565113032449603981e-08,4.173037275284409112e-08
4.658291457286432014e-01,8.563515385403884211e-07,2.283277192755253619e-06,1.482530850206504595e-08,3.952849648173917678e-08
4.728643216080401501e-01,8.227383775608906687e-07,2.193654928548533708e-06,1.403148136287899414e-08,3.741192715206525512e-08
4.798994974874372099e-01,7.896180021728745583e-07,2.105346571132786858e-06,1.326920979837882388e-08,3.537949397529341279e-08
4.869346733668341587e-01,7.570433278459867091e-07,2.018493208226724205e-06,1.253800245026060768e-08,3.342988685018793220e-08
4.939698492462311075e-01,7.250626254098844331e-07,1.933223543615499810e-06,1.183732012409075341e-08,3.156166813076202318e-08
5.010050251256281673e-01,6.937195835083817801e-07,1.849654063671256423e-06,1.116658015321512631e-08,2.977328426170285215e-08
5.080402010050251160e-01,6.630533896145481945e-07,1.767889253362459719e-06,1.052516069472058084e-08,2.806307723262894264e-08
5.150753768844220648e-01,6.330988281157235552e-07,1.688021857776499836e-06,9.912404940600236061e-09,2.642929580625676730e-08
5.221105527638190136e-01,6.038863939519692466e-07,1.610133185112173253e-06,9.327625228697096264e-09,2.487010647934758599e-08
5.291457286432160734e-01,5.754424202783547864e-07,1.534293447063717967e-06,8.770107039441273070e-09,2.338360413914773929e-08
5.361809045226130221e-01,5.477892186201671690e-07,1.460562132514531119e-06,8.239112865844339171e-09,2.196782238189616121e-08
5.432160804020099709e-01,5.209452299998827101e-07,1.388988410484735834e-06,7.733885945657894882e-09,2.062074346382251388e-08
5.502512562814070307e-01,4.949251855348808740e-07,1.319611558330444953e-06,7.253653846033384057e-09,1.934030785887159760e-08
5.572864321608039795e-01,4.697402750345992457e-07,1.252461411271810083e-06,6.797631892425991044e-09,1.812442340113806487e-08
5.643216080402009283e-01,4.453983221643211153e-07,1.187558829429589185e-06,6.365026434859098708e-09,1.697097399365813715e-08
5.713567839195979881e-01,4.219039647892462079e-07,1.124916178673821535e-06,5.955037945999659340e-09,1.587782786876120458e-08
5.783919597989949368e-01,3.992588391659780253e-07,1.064537821730813263e-06,5.566863946780474052e-09,1.484284538861241757e-08
5.854271356783918856e-01,3.774617667082973615e-07,1.006420616153902121e-06,5.199701756538223625e-09,1.386388637786422109e-08
5.924623115577889454e-01,3.565089421191468119e-07,9.505544159369304328e-07,4.852751065809612440e-09,1.293881698346392219e-08
5.994974874371858942e-01,3.363941217502767211e-07,8.969225737347298021e-07,4.525216331037576278e-09,1.206551605962274830e-08
6.065326633165828429e-01,3.171088111241785110e-07,8.455024408500222896e-07,4.216308991481915305e-09,1.124188107873122190e-08
6.135678391959797917e-01,2.986424506289099191e-07,7.962658623487331460e-07,3.925249509600346399e-09,1.046583357159638539e-08
6.206030150753768515e-01,2.809825984744221146e-07,7.491796648736878974e-07,3.651269237064778002e-09,9.735324102772881370e-09
6.276381909547738003e-01,2.641151100782623585e-07,7.042061349380036332e-07,3.393612109401986798e-09,9.048336788957794793e-09
6.346733668341707491e-01,2.480243131283442802e-07,6.613034856923153532e-07,3.151536172996993807e-09,8.402893370416748939e-09
6.417085427135678088e-01,2.326931776501771547e-07,6.204263103724639575e-07,2.924314948871173225e-09,7.797056847204911408e-09
6.487437185929647576e-01,2.181034804848836385e-07,5.815260208447544371e-07,2.711238638245661567e-09,7.228934693542523998e-09
6.557788944723617064e-01,2.042359636619574672e-07,5.445512698728510276e-07,2.511615175425135442e-09,6.696681665103038944e-09
6.628140703517587662e-01,1.910704862264976613e-07,5.094483559324429992e-07,2.324771133989155737e-09,6.198502215177440676e-09
6.698492462311557150e-01,1.785861691541077577e-07,4.761616095956540133e-07,2.150052492659502469e-09,5.732652536694767624e-09
6.768844221105526637e-01,1.667615330573823741e-07,4.446337606957710336e-07,1.986825267525151372e-09,5.297442247914029738e-09
6.839195979899497235e-01,1.555746284555468018e-07,4.148062856632202501e-07,1.834476017554325241e-09,4.891235740263375758e-09
6.909547738693466723e-01,1.450031584430529797e-07,3.866197345949934151e-07,1.692412230508360553e-09,4.512453207296404519e-09
6.979899497487436211e-01,1.350245936535177213e-07,3.600140377812638420e-07,1.560062596498410970e-09,4.159571374072291262e-09
7.050251256281406809e-01,1.256162794721256407e-07,3.349287915641984856e-07,1.436877176496965127e-09,3.831123946455492527e-09
7.120603015075376296e-01,1.167555355023262958e-07,3.113035235445132339e-07,1.322327473135140897e-09,3.525701799881515983e-09
7.190954773869345784e-01,1.084197473412483419e-07,2.890779372808751982e-07,1.215906411087916343e-09,3.241952927058348853e-09
7.261306532663316382e-01,1.005864507626667876e-07,2.681921367456789310e-07,1.117128234276743613e-09,2.978582163879345109e-09
7.331658291457285870e-01,9.323340844655028673e-08,2.485868309078810610e-07,1.025528327006097196e-09,2.734350712522293957e-09
7.402010050251255358e-01,8.633867943022713515e-08,2.302035189095970372e-07,9.406629660017519218e-10,2.508075480312825247e-09
7.472361809045224845e-01,7.988068148807359921e-08,2.129846563881231959e-07,8.621090101376797343e-10,2.298628252447910135e-09
7.542713567839195443e-01,7.383824667443352815e-08,1.968738035691858845e-07,7.894635344293199386e-10,2.104934716117641882e-09
7.613065326633164931e-01,6.819067028834049626e-08,1.818157558208415003e-07,7.223434146374832600e-10,1.925973352940884694e-09
7.683417085427134419e-01,6.291775353866096648e-08,1.677566574109042964e-07,6.603848685728356450e-10,1.760774215952338798e-09
7.753768844221105017e-01,5.799984020467941555e-08,1.546440992545118080e-07,6.032429599194700692e-10,1.608417606654812344e-09
7.824120603015074504e-01,5.341784760006372601e-08,1.424272014728786123e-07,5.505910701106699087e-10,1.468032666889533562e-09
7.894472361809043992e-01,4.915329215779368561e-08,1.310566816100054291e-07,5.021203434940219543e-10,1.338795899488259239e-09
7.964824120603014590e-01,4.518830996019382587e-08,1.204849093715961836e-07,4.575391107193737182e-10,1.219929630861282116e-09
8.035175879396984078e-01,4.150567254190928876e-08,1.106659487602938913e-07,4.165722949746792025e-10,1.110700427853017310e-09
8.105527638190953565e-01,3.808879829471042287e-08,1.015555884841396149e-07,3.789608053840457108e-10,1.010417480368367158e-09
8.175879396984924163e-01,3.492175980164482499e-08,9.311136151151113162e-08,3.444609215718282261e-10,9.184309604452443759e-10
8.246231155778893651e-01,3.198928742448061379e-08,8.529255463626893350e-08,3.128436730883825130e-10,8.341303676268168449e-10
8.316582914572863139e-01,2.927676946284573259e-08,7.806020890206693999e-08,2.838942170892847762e-10,7.569428696769965575e-10
8.386934673366833737e-01,2.677024919617134575e-08,7.137711171533078221e-08,2.574112173620526802e-10,6.863316468887505382e-10
8.457286432160803225e-01,2.445641911071530792e-08,6.520778145285757281e-08,2.332062275042812915e-10,6.217942474612662647e-10
8.527638190954772712e-01,2.232261260378424182e-08,5.951844534290828895e-08,2.111030807759929645e-10,5.628609606724747743e-10
8.597989949748743310e-01,2.035679344598845469e-08,5.427701136857700059e-08,1.909372888780237344e-10,5.090932138509277368e-10
8.668341708542712798e-01,1.854754327015067811e-08,4.945303490965691582e-08,1.725554516484331514e-10,4.600819984582387813e-10
8.738693467336682286e-01,1.688404734252406261e-08,4.501768080465351034e-08,1.558146794209820658e-10,4.154463299322028667e-10
8.809045226130652884e-01,1.535607885843693270e-08,4.094368147849894406e-08,1.405820295543561248e-10,3.748317453131631406e-10
8.879396984924622371e-01,1.395398199052569128e-08,3.720529174431115549e-08,1.267339584184335087e-10,3.379088420832612764e-10
8.949748743718591859e-01,1.266865390349541348e-08,3.377824084962117903e-08,1.141557899148533585e-10,3.043718610908431072e-10
9.020100502512562457e-01,1.149152593499798593e-08,3.063968229923242077e-08,1.027412014136310197e-10,2.739373159110095974e-10
9.090452261306531945e-01,1.041454412786224672e-08,2.776814194859943001e-08,9.239172780562186770e-11,2.463426705081798594e-10
9.160804020100501432e-01,9.430149284664323252e-09,2.514346482362957041e-08,8.301628420222782534e-11,2.213450666175165371e-10
9.231155778894470920e-01,8.531256701589966402e-09,2.274676108538581970e-08,7.453070765871791482e-11,1.987201018487268451e-10
9.301507537688441518e-01,7.711235724801453306e-09,2.056035152153613497e-08,6.685731815563903913e-11,1.782606591374188036e-10
9.371859296482411006e-01,6.963889259158974494e-09,1.856771291076631554e-08,5.992449894372723009e-11,1.597757878250669019e-10
9.442211055276380494e-01,6.283433346225460628e-09,1.675342357192224141e-08,5.366629624108855698e-11,1.430896363376421402e-10
9.512562814070351092e-01,5.664476916061341253e-09,1.510310937652561488e-08,4.802203816676920775e-11,1.280404361539371465e-10
9.582914572864320579e-01,5.102001805436927178e-09,1.360339047163496584e-08,4.293597270167416268e-11,1.144795365062231923e-10
9.653266331658290067e-01,4.591343123791648927e-09,1.224182892989886982e-08,3.835692438559126883e-11,1.022704890367028089e-10
9.723618090452260665e-01,4.128170037580331682e-09,1.100687751514820278e-08,3.423796938728373975e-11,9.128818144179763596e-11
9.793969849246230153e-01,3.708467033583939006e-09,9.887829725044146300e-09,3.053612852261722124e-11,8.141801897101016487e-11
9.864321608040199640e-01,3.328515712341137976e-09,8.874771247179338034e-09,2.721207774291680841e-11,7.255515250639609261e-11
9.934673366834170238e-01,2.984877154080542404e-09,7.958532941628948257e-09,2.422987557157423151e-11,6.460375183090054941e-11
1.000502512562813973e+00,2.674374891402387749e-09,7.130645441268608787e-09,2.155670693074785107e-11,5.747632259735152427e-11
1.007537688442210921e+00,2.394078515465695003e-09,6.383295441198493744e-09,1.916264277120398053e-11,5.109306543313090380e-11
1.014572864321608092e+00,2.141287935572389710e-09,5.709283730309815356e-09,1.702041489634382632e-11,4.538127555687313795e-11
1.021608040201005041e+00,1.913518305787750591e-09,5.101985001360259781e-09,1.510520535565438024e-11,4.027478124139963443e-11
1.028643216080401990e+00,1.708485626578146264e-09,4.555309460837815811e-09,1.339444977264332933e-11,3.571341942995750422e-11
1.035678391959798939e+00,1.524093024361740811e-09,4.063666246333736519e-09,1.186765396722490018e-11,3.164254679925238067e-11
1.042713567839195887e+00,1.358417707329227655e-09,3.621928647044080944e-09,1.050622323196720930e-11,2.801258456128146681e-11
1.049748743718592836e+00,1.209698591876252833e-09,3.225401112313088812e-09,9.293303625109033618e-12,2.477859530529751745e-11
1.056783919597990007e+00,1.076324590466873597e-09,2.869788023740141954e-09,8.213634650304014188e-12,2.189989020003252622e-11
1.063819095477386956e+00,9.568235486911245147e-10,2.551164198223195988e-09,7.253412703214140963e-12,1.933966490340926530e-11
