z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.359326890444730864e-03,1.359324302668987391e-03,8.352458768349008871e-04,1.135372180514768446e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.043221252497575080e-01,1.411262952400447069e-03,1.411260292810656482e-03,8.325247339157557103e-04,1.174911313932345922e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.088310581662609300e-01,1.464569648270741108e-03,1.464566918589309480e-03,8.295746098441914452e-04,1.214969794553844695e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.135348728108431654e-01,1.519198890066776175e-03,1.519196092613481121e-03,8.263773142116060538e-04,1.255431498526635529e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.184419922158806843e-01,1.575088430827575750e-03,1.575085568588491117e-03,8.229134085202907158e-04,1.296161389333196494e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.235612034677590898e-01,1.632160147283125921e-03,1.632157223982822923e-03,8.191621574855515245e-04,1.337003827610380922e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.289016734417433585e-01,1.690318208290946238e-03,1.690315228467149022e-03,8.151014861194923579e-04,1.377780883592787928e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.344729652169289191e-01,1.749447139671177513e-03,1.749444108750748596e-03,8.107079446222902486e-04,1.418290694828165030e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.402850552006674190e-01,1.809409802072376285e-03,1.809406726447177318e-03,8.059566834738925330e-04,1.458305923123404727e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.463483509931317317e-01,1.870045305885211775e-03,1.870042192985901710e-03,8.008214415299331210e-04,1.497572377585279996e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.526737100240096179e-01,1.931166896159390621e-03,1.931163754524827230e-03,7.952745503808907133e-04,1.535807885053619611e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.592724589946988845e-01,1.992559851131480483e-03,1.992556690470779872e-03,7.892869587315996891e-04,1.572701504990255151e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.661564141608184442e-01,2.053979450466570777e-03,2.053976281710380609e-03,7.828282810954283535e-04,1.607913202614078053e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.733379024913548339e-01,2.115149083726911884e-03,2.115145919063782676e-03,7.758668756666804982e-04,1.641074111160441011e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.808297837423337162e-01,2.175758585890070259e-03,2.175755438783338793e-03,7.683699568244517844e-04,1.671787530700783501e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.886454734845430248e-01,2.235462904802131348e-03,2.235459789982018573e-03,7.603037483145114184e-04,1.699630825739106241e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.967989671265430451e-01,2.293881224943100389e-03,2.293878158368465540e-03,7.516336837285833312e-04,1.724158395139817720e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.053048649759813549e-01,2.350596692236806874e-03,2.350593691020670152e-03,7.423246614202433803e-04,1.744905893700231659e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.141783983840887806e-01,2.405156904980392148e-03,2.405153987273415950e-03,7.323413614206073776e-04,1.761395882223514711e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.234354570201737278e-01,2.457075355037279928e-03,2.457072539863922912e-03,7.216486321899588836e-04,1.773145069150310575e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.330926173249537325e-01,2.505834019506051041e-03,2.505831326549169246e-03,7.102119550943952623e-04,1.779673278135439648e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.431671721936762010e-01,2.550887313884353351e-03,2.550884763215877007e-03,6.979979942450023058e-04,1.780514228636300134e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.536771619421803736e-01,2.591667620445243549e-03,2.591665232203449985e-03,6.849752386797676755e-04,1.775228146893106239e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.646414066113516039e-01,2.627592596689002670e-03,2.627590390706847478e-03,6.711147426878246499e-04,1.763416129415372977e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.760795396678142333e-01,2.658074444337842415e-03,2.658072439732198176e-03,6.563909682385805347e-04,1.744736058169143307e-06
