z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.600138368675242759e-03,1.600120268123882486e-03,1.122171342141780334e-03,1.795629420788856190e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.043221252497575080e-01,1.660649616011473321e-03,1.660630947992044202e-03,1.118162091357251427e-03,1.856875447651005531e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.088310581662609300e-01,1.722669119437079390e-03,1.722649886258712827e-03,1.113816724730557362e-03,1.918737676405881064e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.135348728108431654e-01,1.786126617593760280e-03,1.786106824793570660e-03,1.109108771952832528e-03,1.981008699391682085e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.184419922158806843e-01,1.850933684107984156e-03,1.850913340903518559e-03,1.104009990142369767e-03,2.043449278346235754e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.235612034677590898e-01,1.916981588024933977e-03,1.916960707805275867e-03,1.098490303845032177e-03,2.105785687094841945e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.289016734417433585e-01,1.984139021570025495e-03,1.984117622425124114e-03,1.092517755419861528e-03,2.167707110286644603e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.344729652169289191e-01,2.052249711345389190e-03,2.052227816632211724e-03,1.086058469044319866e-03,2.228863179600420898e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.402850552006674190e-01,2.121129937156709683e-03,2.121107576099341523e-03,1.079076632134813888e-03,2.288861748907391626e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.463483509931317317e-01,2.190565992559847033e-03,2.190543200878877859e-03,1.071534498601444058e-03,2.347267032490990491e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.526737100240096179e-01,2.260311633137757157e-03,2.260288453702275022e-03,1.063392419040003678e-03,2.403598255346620996e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.592724589946988845e-01,2.330085572664599737e-03,2.330062056157341729e-03,1.054608903704604703e-03,2.457328991325729472e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.661564141608184442e-01,2.399569103835778351e-03,2.399545309419037157e-03,1.045140724892278756e-03,2.507887392612041187e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.733379024913548339e-01,2.468403939211024148e-03,2.468379935177187137e-03,1.034943066191700966e-03,2.554657541446730584e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.808297837423337162e-01,2.536190389377924233e-03,2.536166253764442040e-03,1.023969726880142022e-03,2.596982180327354118e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.886454734845430248e-01,2.602486018862879783e-03,2.602461840006731631e-03,1.012173390564330552e-03,2.634167097608707191e-06
1.300000000000000044e-01,1.000000000000000000e+00,1.967989671265430451e-01,2.666804945513218117e-03,2.666780822514820248e-03,9.995059679094933647e-04,2.665487458291012745e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.053048649759813549e-01,2.728617975136598227e-03,2.728594018197578411e-03,9.859190239293513704e-04,2.690196370722758235e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.141783983840887806e-01,2.787353788875285635e-03,2.787330119468924092e-03,9.713643007449869167e-04,2.707535964059731844e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.234354570201737278e-01,2.842401424350723873e-03,2.842378175178217857e-03,9.557943468693876413e-04,2.716751212927917421e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.330926173249537325e-01,2.893114310643425929e-03,2.893091625324101072e-03,9.391632638229302108e-04,2.717106678596706841e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.431671721936762010e-01,2.938816128557039491e-03,2.938794160996655892e-03,9.214275800954597855e-04,2.707906233681820441e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.536771619421803736e-01,2.978808767447538568e-03,2.978787680826356764e-03,9.025472609813424028e-04,2.688515694046984639e-06
