z,charge,jt_GeV,A_UT_paper
0.13,1,0.1,0.0009855177052470348
0.13,1,0.12133724924179778,0.0011974570110726862
0.13,1,0.14723881933446506,0.0014623808091436409
0.13,1,0.1786555331965402,0.0017237726642234219
0.13,1,0.21677571120622652,0.0020098907939302677
0.13,1,0.26305029775427907,0.0022359592085650338
0.13,1,0.31917799778393746,0.0024019782423388273
0.13,1,0.3873121526691954,0.002398445965136546
0.13,1,0.4699539120279938,0.002228894654160472
0.13,1,0.5702291537869348,0.0019145179726242803
0.13,1,0.6919545914861488,0.0015860121822789646
0.13,1,0.8395986735367938,0.001338749770219415
0.13,1,1.0187459351401673,0.0012045215654772482
0.13,1,1.2362151740634046,0.0011515367390208284
0.13,1,1.4999894869182375,0.0011515367390208284
0.13,-1,0.1,-0.001716707775607762
0.13,-1,0.12133724924179778,-0.0021052629468140405
0.13,-1,0.14723881933446506,-0.0025574001102946797
0.13,-1,0.1786555331965402,-0.0030060046623619405
0.13,-1,0.21677571120622652,-0.003521723483905833
0.13,-1,0.26305029775427907,-0.003920875820930062
0.13,-1,0.31917799778393746,-0.00416107367858505
0.13,-1,0.3873121526691954,-0.0041292828495534326
0.13,-1,0.4699539120279938,-0.003797244782005836
0.13,-1,0.5702291537869348,-0.003203814859378468
0.13,-1,0.6919545914861488,-0.002567996941901523
0.13,-1,0.8395986735367938,-0.002091133838004926
0.13,-1,1.0187459351401673,-0.0018014834310957995
0.13,-1,1.2362151740634046,-0.0016813846693738545
0.13,-1,1.4999894869182375,-0.0015860118480678668
0.37,1,0.1,0.004297605197972256
0.37,1,0.12134675885829409,0.00532718636454078
0.37,1,0.14723881915103534,0.006587270864158372
0.37,1,0.1786555341873466,0.007913945344784859
0.37,1,0.21679269864991296,0.009081828705041532
0.37,1,0.26305029693504406,0.00986041761187931
0.37,1,0.31917799659112506,0.010259956528639017
0.37,1,0.38731215098045085,0.01045972598701887
0.37,1,0.46995391317070445,0.010019208732249109
0.37,1,0.5702738375320912,0.00911256257971076
0.37,1,0.691954592306627,0.00868228978828181
0.37,1,0.8395986677842792,0.008262261460193687
0.37,1,1.0188257707736386,0.008036880358815019
0.37,1,1.2362151640533963,0.008113714803164713
0.37,1,1.4999894738382178,0.008369829779212622
0.37,-1,0.1,-0.005890639117987479
0.37,-1,0.12134675885829409,-0.007340248612644112
0.37,-1,0.14723881915103534,-0.009174029844402463
0.37,-1,0.1786555341873466,-0.01104366766714722
0.37,-1,0.21679269864991296,-0.012667434977184892
0.37,-1,0.26305029693504406,-0.013635548879061711
0.37,-1,0.31917799659112506,-0.01419387891619122
0.37,-1,0.38731215098045085,-0.01438340391123026
0.37,-1,0.46995391317070445,-0.013640671110732125
0.37,-1,0.5702738375320912,-0.012119349403396196
0.37,-1,0.691954592306627,-0.011361249907886836
0.37,-1,0.8395986677842792,-0.010587783232719456
0.37,-1,1.0188257707736386,-0.010070431533599988
0.37,-1,1.2362151640533963,-0.009962863214581067
0.37,-1,1.4999894738382178,-0.010055064838588763
